,Unnamed: 0,CheckingAccountBalance,DebtsPaid,SavingsAccountBalance,CurrentOpenLoanApplications,LoanPayoffPeriodInMonths,LoanReason,RequestedAmount,InterestRate,Co-Applicant,YearsAtCurrentEmployer,YearsInCurrentResidence,Age,RentOrOwnHome,TypeOfCurrentEmployment,NumberOfDependantsIncludingSelf,WasTheLoanApproved
106,198,high,delayed,some,2,10,auto,781,4,none,10+,4,63,free,skilled,1,Y
107,2,debt,delayed,some,2,20,goods,4272,1,none,10+,4,24,owned,skilled,1,Y
108,301,none,delayed,some,1,15,goods,1459,4,none,4,2,43,owned,unskill,1,Y
109,45,none,delayed,some,1,12,school,2096,2,none,7,3,49,owned,unskill,2,Y
110,280,none,paid,medium,1,24,goods,1311,4,none,7,3,26,owned,skilled,1,Y
111,277,none,paid,high,1,10,school,727,4,none,10+,4,46,free,skilled,1,Y
112,297,debt,delayed,some,2,6,auto,609,4,none,7,3,37,owned,skilled,1,Y
113,231,debt,paid,some,2,12,goods,6199,4,none,4,2,28,rent,skilled,1,N
114,152,high,delayed,medium,2,6,auto,1323,2,none,10+,4,28,owned,skilled,2,Y
115,198,high,delayed,some,2,10,auto,781,4,none,10+,4,63,free,skilled,1,Y
116,472,debt,paid,none,1,20,goods,2212,4,none,7,4,39,owned,skilled,1,Y
117,278,debt,paid,none,1,12,auto,900,4,none,4,2,23,owned,skilled,1,N
118,185,some,delayed,none,2,15,goods,1537,4,guarant,10+,4,50,owned,skilled,1,Y
119,75,none,delayed,medium,1,24,goods,2872,3,none,10+,4,36,owned,skilled,2,Y
120,458,some,delayed,some,2,6,goods,1050,4,none,0,1,35,owned,self,1,Y
121,308,debt,paid,some,1,12,goods,1858,4,none,1,1,22,rent,skilled,1,Y
122,461,some,paid,some,1,36,auto,14318,4,none,10+,2,57,free,self,1,N
123,389,some,paid,some,1,60,school,6288,4,none,4,4,42,free,skilled,1,N
124,83,debt,paid,some,1,24,goods,1546,4,guarant,7,4,24,rent,unskill,1,N
125,447,some,paid,high,1,14,busin,1410,1,none,10+,2,35,owned,skilled,1,Y
126,236,debt,delayed,some,2,60,busin,6836,3,none,10+,4,63,owned,skilled,1,N
127,284,some,paid,none,1,30,goods,1715,4,none,4,1,26,owned,skilled,1,Y
128,482,debt,paid,some,1,30,goods,2522,1,guarant,10+,3,39,owned,skilled,2,Y
129,331,some,delayed,some,1,30,goods,8386,2,none,7,2,49,owned,skilled,1,N
130,463,none,paid,medium,1,6,auto,1204,4,none,4,1,35,rent,skilled,1,Y
131,135,debt,delayed,some,4,12,goods,385,4,none,7,3,58,owned,unskill,1,Y
132,411,none,delayed,some,2,18,goods,3780,3,none,1,2,35,owned,self,1,Y
133,206,debt,delayed,some,2,12,auto,691,4,none,10+,3,35,owned,skilled,1,N
134,322,none,delayed,v.high,2,27,goods,4526,4,none,1,2,32,owned,unskill,2,Y
135,242,debt,paid,none,1,24,goods,2996,2,none,4,4,20,owned,skilled,1,N
136,113,none,paid,high,1,9,auto,2507,2,none,10+,4,51,free,unskill,1,Y
137,138,some,paid,none,1,36,auto,12389,1,none,4,4,37,free,skilled,1,N
138,290,debt,paid,some,1,24,goods,6872,2,none,1,1,55,owned,skilled,1,N
139,176,some,paid,v.high,1,6,school,433,4,none,1,2,24,rent,skilled,2,N
140,201,debt,delayed,some,2,24,auto,6615,2,none,0,4,75,free,self,1,Y
141,208,debt,paid,some,1,12,goods,1498,4,none,4,1,23,owned,skilled,1,Y
142,148,none,paid,medium,1,15,auto,3812,1,none,1,4,23,owned,skilled,1,Y
143,226,some,paid,some,1,36,repairs,2384,4,none,1,1,33,rent,unskill,1,N
144,297,debt,delayed,some,2,6,auto,609,4,none,7,3,37,owned,skilled,1,Y
145,264,none,paid,none,1,10,auto,2901,1,none,1,4,31,rent,skilled,1,Y
146,187,debt,paid,some,1,18,goods,2473,4,none,0,1,25,owned,none,1,N
147,339,debt,delayed,none,2,10,goods,2132,2,co-app,1,3,27,rent,skilled,1,Y
148,369,none,delayed,some,3,12,goods,1935,4,none,10+,4,43,owned,skilled,1,Y
149,323,some,delayed,some,2,42,busin,5954,2,none,7,1,41,owned,unskill,1,Y
150,419,debt,paid,some,1,24,auto,4817,2,co-app,7,3,31,owned,skilled,1,N
151,1,some,delayed,some,1,12,goods,1424,4,none,7,3,26,owned,skilled,1,Y
152,286,none,paid,high,1,24,goods,3235,3,none,10+,2,26,owned,self,1,Y
153,180,none,paid,none,2,24,goods,3105,4,none,1,2,25,owned,skilled,1,Y
154,186,some,delayed,v.high,2,21,goods,2745,3,none,7,2,32,owned,skilled,1,Y
155,255,debt,paid,some,1,12,auto,1893,4,guarant,4,4,29,owned,skilled,1,Y
156,164,none,paid,some,1,24,auto,2679,4,none,1,1,29,owned,self,1,Y
157,229,none,paid,some,1,24,auto,1393,2,guarant,4,2,31,owned,skilled,1,Y
158,3,none,paid,high,1,6,goods,2978,1,none,4,2,32,owned,skilled,1,Y
159,284,some,paid,none,1,30,goods,1715,4,none,4,1,26,owned,skilled,1,Y
160,71,debt,delayed,some,2,12,auto,2171,4,none,4,4,38,owned,unskill,1,Y
161,335,none,delayed,some,1,48,school,6110,1,none,4,3,31,free,skilled,1,Y
162,226,some,paid,some,1,36,repairs,2384,4,none,1,1,33,rent,unskill,1,N
163,376,some,paid,some,1,9,goods,959,1,none,4,2,29,owned,skilled,1,N
164,68,none,paid,medium,1,15,school,4623,3,none,4,2,40,owned,self,1,N
165,511,some,delayed,some,2,12,auto,3124,1,none,1,3,49,owned,unskill,2,Y
166,246,some,delayed,some,1,9,goods,1919,4,none,7,3,35,rent,skilled,1,Y
167,311,high,paid,none,1,12,goods,3399,2,none,10+,3,37,owned,self,1,Y
168,350,some,delayed,v.high,2,15,repairs,1512,3,none,4,3,61,owned,skilled,1,N
169,206,debt,delayed,some,2,12,auto,691,4,none,10+,3,35,owned,skilled,1,N
170,180,none,paid,none,2,24,goods,3105,4,none,1,2,25,owned,skilled,1,Y
171,479,debt,delayed,some,2,24,auto,1333,4,none,0,2,43,free,skilled,2,N
172,311,high,paid,none,1,12,goods,3399,2,none,10+,3,37,owned,self,1,Y
173,172,debt,paid,v.high,2,30,goods,3622,4,none,10+,4,57,rent,skilled,1,Y
174,244,debt,paid,none,1,24,auto,2964,4,none,10+,4,49,free,skilled,2,Y
175,115,some,paid,some,1,12,goods,1567,1,none,4,1,22,owned,skilled,1,Y
176,185,some,delayed,none,2,15,goods,1537,4,guarant,10+,4,50,owned,skilled,1,Y
177,411,none,delayed,some,2,18,goods,3780,3,none,1,2,35,owned,self,1,Y
178,118,none,paid,medium,1,9,goods,2301,2,none,1,4,22,rent,skilled,1,Y
179,281,debt,paid,some,2,12,repairs,1108,4,none,7,3,28,owned,skilled,1,N
180,84,debt,paid,none,1,24,auto,1381,4,none,4,2,35,owned,skilled,1,N
181,345,none,paid,some,1,12,auto,1884,4,none,10+,4,39,owned,self,1,Y
182,493,none,paid,none,1,30,auto,7485,4,none,0,1,53,owned,self,1,N
183,417,none,paid,some,2,12,auto,1101,3,none,4,2,27,owned,skilled,1,Y
184,217,debt,paid,some,1,36,auto,9271,2,none,7,1,24,owned,skilled,1,N
185,214,debt,paid,some,1,9,goods,1364,3,none,7,4,59,owned,skilled,1,Y
186,495,high,delayed,some,2,6,auto,1343,1,none,10+,4,46,owned,skilled,2,Y
187,238,debt,delayed,some,2,36,auto,9629,4,none,7,4,24,owned,skilled,1,N
188,39,debt,delayed,some,2,42,goods,4370,3,none,7,2,26,owned,skilled,2,N
189,497,debt,delayed,some,2,36,school,8065,3,none,4,2,25,owned,self,1,N
190,169,none,delayed,some,2,4,goods,1503,2,none,7,1,42,owned,unskill,2,Y
191,186,some,delayed,v.high,2,21,goods,2745,3,none,7,2,32,owned,skilled,1,Y
192,123,none,paid,high,1,10,auto,1597,3,none,4,2,40,rent,unskill,2,Y
193,191,none,paid,some,1,12,busin,1542,2,none,7,4,36,owned,skilled,1,Y
194,371,debt,paid,some,1,18,school,750,4,none,0,1,27,owned,none,1,N
195,125,none,delayed,some,2,18,auto,2775,2,none,7,2,31,owned,skilled,1,N
196,51,some,paid,some,1,48,other,18424,1,none,4,2,32,owned,self,1,N
197,76,debt,paid,none,1,12,goods,1262,2,none,10+,4,49,owned,unskill,1,Y
198,512,none,delayed,some,2,6,goods,1382,1,none,4,1,28,owned,skilled,1,Y
199,154,none,delayed,some,2,36,auto,3535,4,none,7,4,37,owned,skilled,1,Y
200,428,some,paid,none,1,36,school,3711,2,none,4,2,27,owned,skilled,1,Y
201,379,some,paid,medium,4,12,goods,951,4,none,1,4,27,rent,skilled,1,N
202,259,some,paid,none,1,24,goods,4351,1,none,4,4,48,owned,unskill,1,Y
203,385,none,delayed,v.high,2,18,goods,1149,4,none,4,3,46,owned,skilled,1,Y
204,187,debt,paid,some,1,18,goods,2473,4,none,0,1,25,owned,none,1,N
205,446,none,delayed,some,2,6,goods,1740,2,none,10+,2,30,rent,skilled,1,Y
206,420,debt,delayed,some,1,36,school,6887,4,none,4,3,29,owned,skilled,1,N
207,161,debt,delayed,some,1,24,goods,1024,4,none,1,4,48,owned,skilled,1,N
208,493,none,paid,none,1,30,auto,7485,4,none,0,1,53,owned,self,1,N
209,205,some,paid,none,2,48,goods,3979,4,none,7,1,41,owned,skilled,2,Y
210,467,some,paid,some,2,27,busin,8318,2,none,10+,4,42,free,self,1,N
211,243,none,paid,high,1,24,goods,3430,3,none,10+,2,31,owned,skilled,2,Y
212,351,none,paid,some,1,18,goods,1533,4,co-app,1,1,43,owned,unskill,2,N
213,18,debt,paid,some,1,24,auto,2303,4,co-app,10+,1,45,owned,skilled,1,N
214,152,high,delayed,medium,2,6,auto,1323,2,none,10+,4,28,owned,skilled,2,Y
215,229,none,paid,some,1,24,auto,1393,2,guarant,4,2,31,owned,skilled,1,Y
216,172,debt,paid,v.high,2,30,goods,3622,4,none,10+,4,57,rent,skilled,1,Y
217,505,some,paid,some,2,9,school,1199,4,none,7,4,67,owned,self,1,Y
218,339,debt,delayed,none,2,10,goods,2132,2,co-app,1,3,27,rent,skilled,1,Y
219,211,none,delayed,some,2,36,busin,9572,1,none,1,1,28,owned,skilled,1,N
220,293,none,delayed,some,2,24,other,6314,4,co-app,0,2,27,owned,self,1,Y
221,120,none,paid,none,1,48,goods,10222,4,none,7,3,37,owned,skilled,1,Y
222,297,debt,delayed,some,2,6,auto,609,4,none,7,3,37,owned,skilled,1,Y
223,226,some,paid,some,1,36,repairs,2384,4,none,1,1,33,rent,unskill,1,N
224,0,some,paid,none,1,24,auto,2760,4,none,10+,4,36,free,skilled,1,Y
225,212,high,delayed,high,3,12,auto,1480,2,none,0,4,66,free,none,1,Y
226,410,high,delayed,high,3,12,auto,939,4,none,7,2,28,owned,skilled,1,N
227,358,none,delayed,v.high,1,24,goods,3777,4,none,4,4,50,owned,skilled,1,Y
228,112,debt,delayed,some,2,36,busin,2145,2,none,7,1,24,owned,skilled,1,N
229,421,none,delayed,some,2,14,auto,802,4,none,4,2,27,owned,unskill,1,Y
230,295,high,paid,medium,1,10,auto,1240,1,none,10+,4,48,free,unskill,2,N
231,62,debt,delayed,some,2,10,auto,1038,4,co-app,7,3,49,owned,skilled,1,Y
232,381,none,delayed,medium,2,6,auto,362,4,none,4,4,52,owned,unskill,1,Y
233,213,none,delayed,v.high,2,18,goods,1582,4,none,10+,4,46,owned,skilled,1,Y
234,263,none,paid,high,1,15,goods,1213,4,none,10+,3,47,owned,skilled,1,Y
235,142,some,paid,high,1,9,goods,790,4,none,4,3,66,owned,unskill,1,Y
236,66,some,paid,some,1,30,goods,3832,2,none,1,1,22,owned,skilled,1,Y
237,295,high,paid,medium,1,10,auto,1240,1,none,10+,4,48,free,unskill,2,N
238,497,debt,delayed,some,2,36,school,8065,3,none,4,2,25,owned,self,1,N
239,127,some,paid,some,1,12,goods,1331,2,none,1,1,22,owned,skilled,1,N
240,504,some,paid,some,1,36,goods,3804,4,none,4,1,42,owned,skilled,1,N
241,239,none,paid,none,1,12,auto,2390,4,none,10+,3,50,owned,skilled,1,Y
242,195,none,delayed,high,1,12,goods,1402,3,none,7,4,37,rent,skilled,1,Y
243,162,debt,delayed,some,2,12,auto,4843,3,co-app,10+,4,43,rent,skilled,1,N
244,98,debt,paid,medium,1,24,auto,2325,2,none,7,3,32,owned,skilled,1,Y
245,163,some,paid,some,1,12,goods,1534,1,none,1,1,23,rent,skilled,1,N
246,368,some,paid,some,1,12,auto,685,2,none,7,3,25,owned,unskill,1,N
247,406,debt,paid,some,1,36,auto,1842,4,none,1,4,34,owned,skilled,1,N
248,199,some,paid,some,1,6,goods,2063,4,none,1,3,30,rent,self,1,Y
249,134,none,paid,some,1,12,school,719,4,none,10+,4,41,owned,unskill,2,N
250,365,debt,delayed,some,2,12,auto,2121,4,none,4,2,30,owned,skilled,1,Y
251,199,some,paid,some,1,6,goods,2063,4,none,1,3,30,rent,self,1,Y
252,133,some,delayed,some,2,21,busin,3652,2,none,7,3,27,owned,skilled,1,Y
253,495,high,delayed,some,2,6,auto,1343,1,none,10+,4,46,owned,skilled,2,Y
254,62,debt,delayed,some,2,10,auto,1038,4,co-app,7,3,49,owned,skilled,1,Y
255,242,debt,paid,none,1,24,goods,2996,2,none,4,4,20,owned,skilled,1,N
256,275,none,delayed,medium,1,15,school,1532,4,none,4,3,31,owned,skilled,1,Y
257,355,some,paid,some,1,6,goods,1068,4,none,10+,4,28,owned,skilled,2,Y
258,4,none,delayed,some,2,36,auto,6614,4,none,10+,4,34,owned,self,1,Y
259,236,debt,delayed,some,2,60,busin,6836,3,none,10+,4,63,owned,skilled,1,N
260,160,some,delayed,some,2,24,busin,1935,4,none,10+,4,31,owned,skilled,1,N
261,270,none,paid,medium,1,6,goods,1346,2,none,10+,4,42,free,skilled,2,Y
262,397,none,paid,some,2,18,busin,1950,4,none,7,1,34,owned,skilled,1,Y
263,421,none,delayed,some,2,14,auto,802,4,none,4,2,27,owned,unskill,1,Y
264,464,debt,paid,some,1,45,goods,1845,4,none,4,4,23,free,skilled,1,N
265,276,none,paid,v.high,3,24,busin,4591,2,none,4,3,54,owned,self,1,N
266,375,some,paid,medium,1,6,auto,931,1,none,1,1,32,owned,unskill,1,N
267,175,some,paid,some,2,15,repairs,1308,4,none,10+,4,38,owned,unskill,1,Y
268,71,debt,delayed,some,2,12,auto,2171,4,none,4,4,38,owned,unskill,1,Y
269,124,some,delayed,medium,1,48,other,7582,2,none,0,4,31,free,self,1,Y
270,481,some,paid,some,1,8,goods,760,4,guarant,7,2,44,owned,unskill,1,Y
271,247,high,delayed,some,1,21,school,2319,2,none,1,1,33,rent,skilled,1,N
272,3,none,paid,high,1,6,goods,2978,1,none,4,2,32,owned,skilled,1,Y
273,358,none,delayed,v.high,1,24,goods,3777,4,none,4,4,50,owned,skilled,1,Y
274,485,none,paid,v.high,1,21,busin,1572,4,none,10+,4,36,owned,unskill,1,Y
275,383,none,paid,some,1,12,busin,1076,2,none,4,2,26,owned,skilled,1,Y
276,117,none,delayed,high,2,24,busin,2375,4,none,4,2,44,owned,skilled,2,Y
277,391,debt,paid,medium,1,12,goods,727,4,none,1,3,33,owned,unskill,1,N
278,181,none,delayed,some,1,18,busin,2169,4,none,4,2,28,owned,skilled,1,N
279,405,debt,paid,none,1,24,auto,2812,2,none,10+,4,26,rent,skilled,1,Y
280,144,some,paid,some,1,24,goods,2039,1,none,1,1,22,owned,skilled,1,N
281,225,some,delayed,some,1,48,goods,5096,2,none,4,3,30,owned,self,1,N
282,254,some,delayed,some,2,45,goods,4746,4,none,1,2,25,owned,unskill,1,N
283,382,none,delayed,some,1,24,busin,3863,1,none,4,2,32,free,skilled,1,Y
284,160,some,delayed,some,2,24,busin,1935,4,none,10+,4,31,owned,skilled,1,N
285,339,debt,delayed,none,2,10,goods,2132,2,co-app,1,3,27,rent,skilled,1,Y
286,297,debt,delayed,some,2,6,auto,609,4,none,7,3,37,owned,skilled,1,Y
287,53,some,delayed,high,1,12,auto,2366,3,none,7,3,36,owned,self,1,Y
288,316,high,delayed,none,2,15,goods,1271,3,none,4,4,39,free,skilled,1,N
289,134,none,paid,some,1,12,school,719,4,none,10+,4,41,owned,unskill,2,N
290,212,high,delayed,high,3,12,auto,1480,2,none,0,4,66,free,none,1,Y
291,378,none,paid,none,1,15,auto,3556,3,none,4,2,29,owned,skilled,1,Y
292,146,none,paid,none,1,12,auto,3527,2,none,1,3,45,owned,self,2,Y
293,269,none,paid,some,1,24,auto,7393,1,none,4,4,43,owned,unskill,2,Y
294,18,debt,paid,some,1,24,auto,2303,4,co-app,10+,1,45,owned,skilled,1,N
295,14,debt,paid,some,1,48,goods,3051,3,none,4,4,54,owned,skilled,1,N
296,153,none,paid,some,1,24,auto,2670,4,none,10+,4,35,owned,self,1,Y
297,462,some,delayed,none,2,24,auto,1965,4,none,4,4,42,rent,skilled,1,Y
298,478,none,paid,medium,1,9,auto,3577,1,guarant,4,2,26,rent,skilled,2,Y
299,316,high,delayed,none,2,15,goods,1271,3,none,4,4,39,free,skilled,1,N
300,375,some,paid,medium,1,6,auto,931,1,none,1,1,32,owned,unskill,1,N
301,345,none,paid,some,1,12,auto,1884,4,none,10+,4,39,owned,self,1,Y
302,460,some,delayed,v.high,2,9,school,1136,4,none,10+,3,32,free,skilled,2,N
303,310,debt,paid,some,1,18,auto,1216,4,none,1,3,23,rent,skilled,1,N
304,121,high,paid,some,1,10,goods,1275,4,none,1,2,23,owned,skilled,1,Y
305,409,none,paid,none,1,22,auto,1283,4,none,7,4,25,rent,skilled,1,Y
306,468,none,paid,high,1,24,goods,3062,4,none,10+,3,32,rent,skilled,1,Y
307,248,none,delayed,none,2,20,auto,3485,2,none,1,4,44,owned,skilled,1,Y
308,212,high,delayed,high,3,12,auto,1480,2,none,0,4,66,free,none,1,Y
309,121,high,paid,some,1,10,goods,1275,4,none,1,2,23,owned,skilled,1,Y
310,138,some,paid,none,1,36,auto,12389,1,none,4,4,37,free,skilled,1,N
311,105,debt,paid,some,1,6,school,1198,4,none,10+,4,35,free,skilled,1,N
312,10,debt,paid,some,1,24,auto,2924,3,guarant,4,4,63,owned,skilled,2,Y
313,303,none,paid,high,1,24,goods,1376,4,none,7,1,28,owned,skilled,1,Y
